中文,英文,页码,缩写
感觉柱,sensory column,306,无
感受器,sensory receptor,242,无
感受器电位,receptor potential,243,无
感受野,receptive field,244,无
高频通气,high frequency ventilation,146,HFV
高渗尿,hyperosmotic urine,226,无
睾酮　,testosterone,385,无
格斗- 逃避反应,fight or flight reaction,325,无
工作细胞,working cell,90,无
功能性合胞体,functional syncytium,98,无
功能性作用,functional action,283,无
功能余气量,functional residual capacity,144,FRC
孤束核,nucleus tractus solitarii,122,NTS
骨传导,bone conduction,268,无
骨钙素,osteocalcin,381,OCN
骨泌素,osteocrin,381,无
骨桥蛋白,osteopontin,381,OPN
骨吸收,bone resorption,364,无
骨形成,bone formation,364,无
固醇激素,sterol hormone,341,无
冠脉血流量,coronary blood flow,129,CBF
冠脉循环,coronary circulation,129,无
管- 球反馈,tubulo-glomerular feedback,217,TGF
惯性阻力,inertial resistance,142,无
河鲀毒素,tetrodotoxin,33,TTX
核受体,nuclear receptor,27,无
褐色脂肪组织,brown adipose tissue,201,无
黑质,substantia nigra,314,无
亨廷顿病,Huntington ’s disease,315,无
亨廷顿舞蹈症,Huntington chorea,315,无
横管,transverse tubule,44,无
横桥,cross-bridge,45,无
横桥周期,cross-bridge cycle,46,无
红系集落形成单位,colony-forming unit-erythroid,56,CFU-E
红细胞,erythrocyte； red blood cell,54,RBC
红细胞沉降率,erythrocyte  sedimentation rate,58,ESR
红细胞叠连,erythrocyte rouleaux formation,58,无
红细胞渗透脆性,osmotic fragility of erythrocyte,58,无
后超极化,after-hyperpolarization,32,无
后发放,after discharge,299,无
后负荷,afterload,48,无
呼气,expiration,137,无
呼气运动,expiratory movement,136,无
呼吸,respiration,135,无
呼吸功,work of breathing,147,无
呼吸节律,respiratory rhythm,156,无
呼吸困难,dyspnea,137,无
呼吸膜,respiratory membrane,148,无
呼吸商,respiratory quotient,198,RQ
呼吸神经元,respiratory neuron,157,无
呼吸调整中枢,pneumotaxic center,157,PC
呼吸系统,respiratory system,135,无
呼吸相关神经元,respiratory-related neuron,157,无
呼吸运动,respiratory movement,136,无
呼吸中枢,respiratory center,156,无
壶腹嵴,crista ampullaris,274,无
互感性对光反射,consensual light reflex,256,无
护骨因子,osteoprotegerin,381,OPG
花生四烯酸,arachidonic acid,25,AA
化学感受器,chemoreceptor,158,无
化学感受性反射,chemoreceptor reflex,123,无
化学门控通道,chemical-gated ion channel,16,无
化学突触,chemical synapse,285,无
化学性消化,chemical digestion,165,无
环磷酸鸟苷,cyclic guanosine monophosphate,25,cGMP
环磷酸腺苷,cyclic adenosine monophosphate,24,cAMP
环氧合酶,cyclooxygenase,65,COX
缓激肽,bradykinin,127,无
缓激肽受体,bradykinin receptor,127,无
换能作用,transducer function,243,无
黄体,corpus luteum,388,无
回返式联系,recurrent connection,299,无
回返性抑制,recurrent inhibition,302,无
回射,undershoot,32,无
混合微胶粒,mixed micelle,182,无
霍尔丹效应,Haldane effect,156,无
机械门控通道,mechanically-gated ion channel,16,无
机械性消化,mechanical digestion,165,无
机械阈,mechanical threshold,166,无
肌动蛋白,actin,45,无
肌钙蛋白,troponin,45,无
肌钙蛋白C,troponin C,45,TnC
肌钙蛋白I　,troponin I,45,TnI
肌钙蛋白T　,troponin T,45,TnT
肌间神经丛,myenteric plexus,167,无
肌节,sarcomere,44,无
肌紧张,muscle tonus,311,无
肌球蛋白,myosin,45,无
肌球蛋白轻链,myosin light chain,52,MLC
肌球蛋白轻链激酶,myosin light chain kinase,51,MLCK
肌球蛋白轻链磷酸酶,MLC phosphatase,52,MLCP
肌肉素,musclin,381,无
肌肉型烟碱受体,muscle-type nicotinic receptor,296,无
肌肉抑制素　,myostatin,381,无
肌丝滑行学说,sliding filament theory,45,无
肌梭,muscle spindle,249,无
肌源性活动,myogenic activity,128,无
肌源性机制,myogenic mechanism,217,无
肌质网,sarcoplasmic reticulum,44,SR
基本单元,elementary unit,26,无
基本电节律,basic electrical rhythm,166,BER
基础代谢,basal metabolism,202,无
基础代谢率,basal metabolism rate,202,BMR
基础分泌,basic secretion,169,无
基底神经节,basal ganglia,314,无
基因表达学说,gene expression hypothesis,343,无
基因型,genotype,75,无
基因组效应,genomic effect,369,无
激动剂,agonist,293,无
激活态,activated state,36,无
激素,hormone,337,无
激素反应元件,hormone response element,27,HRE
激肽,kinin,127,无
激肽释放酶,kallikrein,127,无
激肽原,kininogen,127,无
极化,polarization,29,无
急性实验,acute experiment,4,无
集落形成单位,colony forming unit,56,CFU
集团蠕动,mass peristalsis,187,无
脊髓动物,spinal animal,309,无
脊髓小脑,spinocerebellum,316,无
脊髓休克,spinal shock,309,无
记忆,memory,332,无
继发性主动转运,secondary active transport,20,无
甲状旁腺激素,parathyroid hormone,363,PTH
甲状腺过氧化物酶,thyroid peroxidase,356,TPO
甲状腺激素,thyroid hormone,356,TH
甲状腺激素受体,thyroid hormone receptor,358,TR
甲状腺素,thyroxin,356,无
甲状腺素结合球蛋白,thyroxine  binding globulin,358,TBG
甲状腺素转运蛋白,transthyretin,358,TTR
钾漏通道,potassium leak channel,16,无
假怒,sham rage,325,无
假饲,sham feeding,174,无
间接测热法,indirect calorimetry,198,无
间接通路,indirect pathway,314,无
减慢充盈期,period of reduced filling,81,无
减慢射血期,period of reduced ejection,80,无
剪切运动,shearing motion,269,无
简化眼,reduced eye,254,无
腱反射,tendon reflex,311,无
腱器官,tendon organ,249,无
奖赏系统,reward system,325,无
降钙素,calcitonin,363,CT
降钙素基因相关肽,calcitonin gene-related peptide,127,CGRP
降压反射,depressor reflex,122,无
交叉配血试验,cross-match test,77,无
交感神经系统,sympathetic nervous system,319,无
交感缩血管紧张,sympathetic vasoconstrictor tone,121,无
交互性突触,reciprocal synapses,300,无
交互抑制,reciprocal inhibition,302,无
交换血管,exchange vessel,106,无
胶体渗透压,colloid osmotic pressure,54,无
焦虑,anxiety,325,无
接头电位,junction potential,285,无
接头后膜,postjunctional membrane,43,无
接头间隙,junctional cleft,43,无
接头前膜,prejunctional membrane,43,无
节间反射,intersegmental reflex,311,无
节律运动,rhythmic movement,308,无
拮抗剂,antagonist,293,无
拮抗作用,antagonistic action,344,无
解耦联蛋白,uncoupling protein,207,UCP
解剖无效腔,anatomical dead space,145,无
紧张性收缩,tonic contraction,177,无
近反射,near reflex,255,无
近曲小管,proximal convoluted tubule,213,无
近视,myopia,256,无
近髓肾单位,juxtamedullary nephron,214,无
经通道易化扩散,facilitated diffusion via channel,15,无
经载体易化扩散,facilitated diffusion via carrier,17,无
晶体渗透压,crystal osmotic pressure,54,无
精氨酸升压素,arginine vasopressin,231,AVP
精液,semen,384,无
精子,spermatozoon,384,无
精子发生,spermatogenesis,383,无
精子细胞,spermatid,384,无
颈黏液细胞,neck mucous cell,171,无
痉挛性瘫痪,spastic paralysis,318,无
竞争性抑制,competitive inhibition,18,无
竞争作用,competitive action,344,无
静态顺应性,static compliance,140,无
静息电位　,resting potential,29,无
静息膜电位,resting membrane potential,29,无
静息态,resting state,36,无
静止性震颤,static tremor,315,无
局部电流,local current,37,无
局部电位,local potential,41,无
局部反应期,local response period,95,LRP
局部回路神经元,local circuit neuron,300,无
局部神经元回路,local neuronal circuit,300,无
咀嚼,mastication,170,无
巨核细胞,megakaryocyte,66,无
巨人症,gigantism,349,无
巨噬细胞,macrophage,62,无
巨幼细胞贫血,megaloblastic anemia,59,无
聚合式联系,convergent connection,299,无
觉醒,wakefulness,328,无
绝对不应期,absolute refractory period,39,ARP
绝经期,menopause,392,无
卡哈尔间质细胞,interstitial cell of Cajal,166,ICC
抗利尿激素,antidiuretic  hormone,126,ADH
抗凝血酶,antithrombin,71,无
科蒂器,organ of Corti,269,无
颗粒细胞,granular cell,214,无
壳核,putamen,314,无
咳嗽反射,cough reflex,162,无
可感蒸发,sensible evaporation,208,无
可塑变形性,plastic deformation,57,无
可兴奋细胞,excitable cell,39,无
空间常数,space constant,40,无
空间总和,spatial summation,42,无
恐惧,fear,325,无
口腔温度,oral temperature,205,无
库普弗细胞,Kupffer cell,186,无
跨膜电位,transmembrane potential,28,无
跨膜信号转导,transmembrane signal transduction,22,无
快波睡眠,fast wave sleep,329,FWS
快动相,quick component,275,无
快反应细胞,fast response cell,90,无
快速充盈期,period of rapid filling,81,无
快速射血期,period of rapid ejection,80,无
快速眼动睡眠,rapid  eye movement  sleep,328,REM  sleep
快通道,fast channel,91,无
快痛,fast pain,249,无
扩散,diffusion,147,无
扩散速率,diffusion rate,147,D
扩散系数,diffusion coefficient,148,无
郎飞结,node of Ranvier,38,无
老视,presbyopia,255,无
酪氨酸激酶受体,tyrosine kinase receptor,27,TKR
雷诺丁受体,ryanodine receptor,44,RyR
雷诺数,Reynolds number,108,Re
类固醇激素,steroid hormone,340,无
类视黄醇X 受体　,retinoid X receptor,358,RXR
冷习服,cold acclimatization,211,无
离子泵,ion pump,18,无
离子通道型受体,ion channel receptor,23,无
立体视觉,stereoscopic vision,266,无
利尿钠肽,natriuretic peptide,127,NP
粒细胞,granulocyte,61,无
连接肌质网,junctional sarcoplasmic reticulum,44,JSR
连接肽,connecting peptide,373,无
联合型学习,associative learning,332,无
两点辨别阈,threshold of two-point discrimination,248,无
量子式释放,quantal release,44,无
裂孔素,nephrin,215,无
裂隙,slit,215,无
临界融合频率,critical  fusion frequency,266,CFF
淋巴系统,lymphatic system,79,无
淋巴细胞,lymphocyte,61,无
磷酸二酯酶,phosphodiesterase,24,PDE
磷酸化级联反应,phosphorylation cascade,25,无
磷脂酶A2,phospholipase A2,24,无
磷脂酶C　,phospholipase C,24,PLC
流畅失语症,fluent aphasia,335,无
硫化氢,hydrogen sulfide,2,H
氯电流,chloride current,92,ICl
氯转移,chloride shift,155,无
滤过,filtration,117,无
滤过分数,filtration fraction,218,FF
滤过膜,filtration membrane,215,无
滤过平衡,filtration equilibrium,219,无
滤过系数　,filtration coefficient,219,Kf
卵泡闭锁,follicular atresia,388,无
螺旋器,spiral organ,269,无
脉搏压,pulse pressure,111,无
慢波,slow wave,166,无
慢动相,slow component,275,无
慢反应细胞,slow response cell,90,无
慢通道,slow channel,92,无
慢痛,slow pain,249,无
慢性实验,chronic experiment,4,无
盲点,blind spot,259,无
酶联型受体,enzyme-linked receptor,26,无
每搏功,stroke work,88,无
每搏输出量,stroke volume,82,无
每分功,minute work,89,无
门控,gating,15,无
迷走- 迷走反射　,vago-vagal reflex,175,无
迷走神经背核,dorsal nucleus of vagus nerve,122,无
糜蛋白酶,chymotrypsin,180,无
糜蛋白酶原,chymotrypsinogen,180,无
面容失认症,prosopagnosia,336,无
敏感化,sensitization,291,无
明视觉,photopic vision,260,无
明适应,light adaptation,265,无
膜电位,membrane potential,28,无
膜泡运输,vesicular transport,20,无
膜片钳,patch clamp,35,无
钠碘同向转运体,sodium-iodide symporter,357,NIS
钠- 钾泵　,sodium-potassium pump,18,无
脑- 肠肽　,brain-gut peptide,169,无
脑电图,electroencephalogram,326,EEG
脑利尿钠肽,brain natriuretic peptide,127,BNP
脑桥呼吸组,pontine respiratory group,157,PRG
脑缺血反应,cerebral ischemic response,124,无
内啡肽,endorphin,251,END
内分泌,endocrine,337,无
内分泌腺,endocrine gland,337,无
内呼吸,internal respiration,135,无
内化,internalization,295,无
内环境,internal environment,7,无
内淋巴电位,endolymphatic potential,272,无
内皮舒张因子,endothelium-derived relaxing factor,126,EDRF
内皮素受体,endothelin receptor,126,ETR
内生肌酐,endogenous creatinine,237,无
内向整流,inward rectification,91,无
内因子,intrinsic factor,59,无
内源性凝血途径,intrinsic pathway,69,无
内脏感觉,visceral sense,252,无
内脏平滑肌,visceral smooth muscle,50,无
内脏痛,visceral pain,252,无
能量代谢,energy metabolism,196,无
能量代谢率,energy metabolic rate,197,无
能量平衡,energy balance,202,无
逆流倍增,countercurrent multiplication,227,无
逆流交换,countercurrent exchange,227,无
逆向运输,retrograde transport,282,无
逆行性遗忘症,retrograde amnesia,333,无
黏膜下神经丛,submucosal plexus,167,无
黏液- 碳酸氢盐屏障　,mucus-bicarbonate barrier,173,无
黏滞阻力,viscous resistance,143,无
鸟苷酸环化酶,guanylyl cyclase,27,GC
鸟苷酸结合蛋白,guanine nucleotide-binding protein,24,无
尿崩症,diabetes insipidus,231,无
尿失禁,urine incontinence,240,无
尿液的浓缩和稀释,urine  concentration  and dilution,226,无
尿潴留,urine retention,240,无
凝集,agglutination,73,无
凝集素,agglutinin,73,无
凝集原,agglutinogen,73,无
凝血酶,thrombin,69,无
凝血酶调节蛋白,thrombomodulin,71,TM
凝血酶原酶复合物,prothrombinase complex,70,无
凝血酶原时间,prothrombin time,70,PT
凝血时间,clotting time,70,CT
凝血因子,coagulation factor； clotting factor,68,无
脓,pus,62,无
呕吐,vomiting,179,无
帕金森病,Parkinson ’s disease,315,无
排便反射,defecation reflex,187,无
排卵,ovulation,388,无
排尿,micturition,238,无
排尿反射,micturition reflex,239,无
排泄,excretion,220,无
旁分泌,paracrine,9,无
配体,ligand,22,无
配体门控通道,ligand-gated ion channel,16,无
喷射性呕吐,projectile vomiting,179,无
喷嚏反射,sneezing reflex,162,无
盆神经,pelvic nerve,239,无
皮层脊髓束,corticospinal tract,318,无
皮层脑干束,corticobulbar tract,318,无
皮层小脑,cerebrocerebellum,317,无
皮层诱发电位,evoked cortical potential,328,无
皮层柱,cortical column,306,无
皮质醇,cortisol,368,无
皮质肾单位,cortical nephron,214,无
皮质酮,corticosterone,369,无
贫血,anemia,57,无
频率总和,frequency summation,49,无
平衡电位,equilibrium potential,29,无
平衡感觉,equilibrium sensation,273,无
平静呼吸,eupnea,136,无
平均动脉压,mean arterial pressure,111,无
平均诱发电位,average evoked potential,328,无
平台期,plateau,92,无
葡萄糖的最大转运率,maximal rate of glucose transport,225,无
葡萄糖转运体,glucose transporter,17,GLUT
葡萄糖转运体-2,glucose transporter-2,191,GLUT-2
期前收缩,premature systole,97,无
期前兴奋,premature excitation,97,无
起搏细胞学说,theory of pacemaker,158,无
气传导,air conduction,268,无
气道阻力,airway resistance,143,无
气味物质,odorant,276,无
气味物质受体,odorant receptor,276,无
气胸,pneumothorax,139,无
牵涉痛,referred pain,253,无
牵张反射,stretch reflex,310,无
前负荷,preload,48,无
前馈,feed-forward,11,无
前列环素,prostacyclin,2,PGI
前列腺素,prostaglandin,128,PG
前体细胞,precursor cell,56,无
前庭器官,vestibular apparatus,268,无
前庭小脑,vestibulocerebellum,316,无
前庭自主神经反应,vestibular autonomic reaction,275,无
前胰岛素原,preproinsulin,373,无
前运动皮层,premotor cortex,318,无
潜在起搏点,latent pacemaker,99,无
腔分泌,solinocrine,337,无
强啡肽,dynorphin,250,DYN
强直后增强,post-tetanic potentiation,44,PTP
抢先占领,capture,99,无
切率,shear rate,108,无
青春期,adolescence,400,无
青光眼,glaucoma,257,无
轻瘫,paresis,318,无
氢化可的松,hydrocortisone,369,无
清除率,clearance rate,236,C
情绪,emotion,324,无
情绪的生理反应,emotional physiological reaction,326,无
丘脑底核,subthalamic nucleus,314,无
球- 管平衡,glomerulo-tubular balance,226,无
球囊,saccule,274,无
球旁器,juxtaglomerular apparatus,214,无
球旁细胞,juxtaglomerular cell,214,无
球抑胃素,bulbogastrone,177,无
曲张体,varicosity,281,无
屈光不正,ametropia,256,无
屈肌反射,flexor reflex,310,无
躯体感觉,somatic sense,246,无
趋化性,chemotaxis,61,无
趋化因子,chemokine,61,无
去大脑僵直,decerebrate rigidity,312,无
去极化,depolarization,29,无
去甲肾上腺素,norepinephrine,125,NE
